company_name,count,selected_datetime,polygon
lime,44,2019-08-11 21:00:08,"POLYGON ((-86.78517224787782 36.15298314829094, -86.76724775212219 36.15298314829094, -86.76724775212219 36.16745485170906, -86.78517224787782 36.16745485170906, -86.78517224787782 36.15298314829094))"
lyft,88,2019-08-11 21:00:08,"POLYGON ((-86.78517224787782 36.15298314829094, -86.76724775212219 36.15298314829094, -86.76724775212219 36.16745485170906, -86.78517224787782 36.16745485170906, -86.78517224787782 36.15298314829094))"
spin,100,2019-08-11 21:00:08,"POLYGON ((-86.78517224787782 36.15298314829094, -86.76724775212219 36.15298314829094, -86.76724775212219 36.16745485170906, -86.78517224787782 36.16745485170906, -86.78517224787782 36.15298314829094))"
uber,55,2019-08-11 21:00:08,"POLYGON ((-86.78517224787782 36.15298314829094, -86.76724775212219 36.15298314829094, -86.76724775212219 36.16745485170906, -86.78517224787782 36.16745485170906, -86.78517224787782 36.15298314829094))"
bird,305,2019-08-11 22:00:08,"POLYGON ((-86.78514022169961 36.15275414829093, -86.76721577830038 36.15275414829093, -86.76721577830038 36.16722585170906, -86.78514022169961 36.16722585170906, -86.78514022169961 36.15275414829093))"
lime,28,2019-08-11 22:00:08,"POLYGON ((-86.78514022169961 36.15275414829093, -86.76721577830038 36.15275414829093, -86.76721577830038 36.16722585170906, -86.78514022169961 36.16722585170906, -86.78514022169961 36.15275414829093))"
lyft,72,2019-08-11 22:00:08,"POLYGON ((-86.78514022169961 36.15275414829093, -86.76721577830038 36.15275414829093, -86.76721577830038 36.16722585170906, -86.78514022169961 36.16722585170906, -86.78514022169961 36.15275414829093))"
spin,100,2019-08-11 22:00:08,"POLYGON ((-86.78514022169961 36.15275414829093, -86.76721577830038 36.15275414829093, -86.76721577830038 36.16722585170906, -86.78514022169961 36.16722585170906, -86.78514022169961 36.15275414829093))"
uber,54,2019-08-11 22:00:08,"POLYGON ((-86.78514022169961 36.15275414829093, -86.76721577830038 36.15275414829093, -86.76721577830038 36.16722585170906, -86.78514022169961 36.16722585170906, -86.78514022169961 36.15275414829093))"
bird,304,2019-08-11 22:00:08,"POLYGON ((-86.78757121358329 36.15268314829093, -86.76964678641671 36.15268314829093, -86.76964678641671 36.16715485170906, -86.78757121358329 36.16715485170906, -86.78757121358329 36.15268314829093))"
lime,26,2019-08-11 22:00:08,"POLYGON ((-86.78757121358329 36.15268314829093, -86.76964678641671 36.15268314829093, -86.76964678641671 36.16715485170906, -86.78757121358329 36.16715485170906, -86.78757121358329 36.15268314829093))"
lyft,68,2019-08-11 22:00:08,"POLYGON ((-86.78757121358329 36.15268314829093, -86.76964678641671 36.15268314829093, -86.76964678641671 36.16715485170906, -86.78757121358329 36.16715485170906, -86.78757121358329 36.15268314829093))"
spin,102,2019-08-11 22:00:08,"POLYGON ((-86.78757121358329 36.15268314829093, -86.76964678641671 36.15268314829093, -86.76964678641671 36.16715485170906, -86.78757121358329 36.16715485170906, -86.78757121358329 36.15268314829093))"
uber,56,2019-08-11 22:00:08,"POLYGON ((-86.78757121358329 36.15268314829093, -86.76964678641671 36.15268314829093, -86.76964678641671 36.16715485170906, -86.78757121358329 36.16715485170906, -86.78757121358329 36.15268314829093))"
bird,326,2019-08-12 09:00:09,"POLYGON ((-86.78666215425493 36.15216414829094, -86.76873784574506 36.15216414829094, -86.76873784574506 36.16663585170906, -86.78666215425493 36.16663585170906, -86.78666215425493 36.15216414829094))"
lime,47,2019-08-12 09:00:09,"POLYGON ((-86.78666215425493 36.15216414829094, -86.76873784574506 36.15216414829094, -86.76873784574506 36.16663585170906, -86.78666215425493 36.16663585170906, -86.78666215425493 36.15216414829094))"
lyft,46,2019-08-12 09:00:09,"POLYGON ((-86.78666215425493 36.15216414829094, -86.76873784574506 36.15216414829094, -86.76873784574506 36.16663585170906, -86.78666215425493 36.16663585170906, -86.78666215425493 36.15216414829094))"
spin,101,2019-08-12 09:00:09,"POLYGON ((-86.78666215425493 36.15216414829094, -86.76873784574506 36.15216414829094, -86.76873784574506 36.16663585170906, -86.78666215425493 36.16663585170906, -86.78666215425493 36.15216414829094))"
uber,56,2019-08-12 09:00:09,"POLYGON ((-86.78666215425493 36.15216414829094, -86.76873784574506 36.15216414829094, -86.76873784574506 36.16663585170906, -86.78666215425493 36.16663585170906, -86.78666215425493 36.15216414829094))"
bird,316,2019-08-12 09:00:09,"POLYGON ((-86.78503244348073 36.15469414829094, -86.76710755651928 36.15469414829094, -86.76710755651928 36.16916585170907, -86.78503244348073 36.16916585170907, -86.78503244348073 36.15469414829094))"
lime,50,2019-08-12 09:00:09,"POLYGON ((-86.78503244348073 36.15469414829094, -86.76710755651928 36.15469414829094, -86.76710755651928 36.16916585170907, -86.78503244348073 36.16916585170907, -86.78503244348073 36.15469414829094))"
lyft,38,2019-08-12 09:00:09,"POLYGON ((-86.78503244348073 36.15469414829094, -86.76710755651928 36.15469414829094, -86.76710755651928 36.16916585170907, -86.78503244348073 36.16916585170907, -86.78503244348073 36.15469414829094))"
